,Unnamed: 0,scene_id,scene_text,in_summary,aspects,prediction,aspect?,topic,score,prediction_class
25,25,25,"[' ( CATHERINE walks up the pathway and up to the front door where she cuts the tape to the house . )', ' ( Cut to : In the bedroom , CATHERINE peels back the sheets and checks the bed . )', ' ( Cut to : In the living room , CATHERINE checks the sofa and under the cushions . )', ' ( She stops and looks around . )', ' ( From the curtains , to the fireplace and on to the other curtains where she definitely notices something . )', ' ( CATHERINE takes out the autopsy photographs and looks at the cord used to tie back the curtains . )', "" ( She compares it with the markings found around KRISTY 'S neck . )"", "" ( She 's found the murder weapon . )""]",0,None,0,0,Crime,0.9147209525108337,1
19,19,19,"[' ( Emergency personnel are all over the parking lot area in the rain BRASS fills in everyone on what they know . )', ' [[Brass]] so , the manager was working the lot when he heard the blast', ' [[Brass]] fatality was on the check-in line and died on the way to the hospital', ' [[Sara]] anybody report hearing any noise ?', ' [[Sara]] ticking ?', ' [[Brass]] no', ' [[Brass]] no one heard anything', ' [[Sara]] oh', "" [[Sara]] it 's not the firemen -- it 's the rain this crime scene is trashed"", ' ( GRISSOM look down on the ground and picks up something . )', ' [[Sara]] what do you have ?', ' [[Grissom]] form follows function', "" [[Grissom]] they 've never been able to make a better one"", ' [[Grissom]] mousetrap', ' [[Sara]] that orange stuff again', ' [[Grissom]] someone picks it up motion trips the trap , sets off the timer', ' ( Quick CGI POV of the trap tripping , the timer sending the spark through the wire . )', ' ( The bomb detonates . )', ' [[Sara]] which sets off the bomb', ' ( It explodes . )', ' ( End of CGI POV . )', ' ( Resume to present . )', ' ( SARA looks around the parking lot , then notices the MANAGER speaking with an OFFICER . )', ' ( She sees something . )', ' [[Sara]] be right back', ' ( SARA leaves and heads toward them . )', ' ( GRISSOM turns to BRASS . )', ' [[Grissom]] we say nothing to the media or anybody', "" [[Grissom]] our bomber 's signature just got a little more sophisticated"", ' ( SARA walks up to the MANAGER . )', ' [[Sara]] excuse me', ' [[Sara]] hi', "" [[Sara]] i 'm with the crime lab"", "" [[Sara]] i 'm sorry , but i have to take your jacket"", ' ( The MANAGER looks down at his orange jacket , then takes it off . )', ' [[Manager]] um ... okay', "" [[Manager]] if it 'll help"", ' ( He gives the jacket to SARA . )', ' [[Sara]] thanks', ' ( The officer leads the MANAGER off to another direction . )', "" [[Officer]] let 's go"", ' [[Manager]] okay', ' ( GRISSOM and BRASS join SARA . )', ' [[Grissom]] what are you doing ?', ' [[Sara]] polyethylene-terephtalete', ' ( SARA gathers up the jacket . )', ' [[Grissom]] polyester', "" [[Sara]] 'orange stuff '"", ' ( She turns and walks away . )']",1,"Crime scene,Evidence",0,1,Crime,0.8604545593261719,1
30,30,30,"[' ( DOMINIC listens to the scanner . )', ' [[Dispatch]] victor 9 , victor 9 , report to summit high school , prairie road', ' [[Dispatch]] repeat -- prairie road', ' [[Dispatch]] reported bomb outside classroom 22b , in locker 897', ' ( DOMINIC grabs his jacket , puts it on and leaves the house . )', ' ( The DISPATCH continues . )', ' [[Dispatch]] bomb is trigger-activated and motion-delayed', ' [[Dispatch]] do not handle']",0,None,0,0,Crime,0.8349618315696716,1
3,3,3,"[' ( Various shots of the on-lookers . )', ' ( WARRICK crosses under the crime scene tape and starts taking pictures of the observers . )', ' ( Using a magnetic device , CATHERINE starts gathering the minute pieces of metal in the debris . )', ' ( Cut to : SARA picks up a piece of metal and looks at it . )', ' ( She bags it . )', ' ( Cut to : WARRICK looks at the damage to the lobby wall . )', ' ( The clock on the wall reads : 6:02 . )']",0,None,0,0,Crime,0.8275546431541443,1
26,26,26,"[' ( CATHERINE drops the cord out onto the table in front of GREG . )', ' [[Catherine]] kristy hopkins was strangled with this sash', ' ( She puts the evidence bag aside and continues to explain what she wants . )', "" [[Catherine]] it 's fingerprint-free , but the force of the pull would have scratched off epithelials from the killer 's hands , right ?"", ' [[Greg_Sanders]] abraded , yeah', ' [[Catherine]] and can you extract dna from epithelials ?', "" [[Greg_Sanders]] if they 're fresh enough"", ' ( GREG gets to work . )', ' ( He takes a swab from the cord , then puts the sample under the scope . )', ' [[Greg_Sanders]] okay , epithelials are an affirmative', "" [[Greg_Sanders]] and they 're good to go for dna profiling"", "" [[Greg_Sanders]] i 'm just going to need something to compare it to"", ' [[Catherine]] jack willman has a prior for a sexual assault so his dna is on file', ' ( GREG turns around to check on the database . )']",1,Evidence,0,1,Crime,0.8062297105789185,1
12,12,12,"[' ( DR. ROBBINS starts the autopsy on KRISTY HOPKINS . )', ' [[Dr._Albert_Robbins]] 25-year-old female caucasian', "" [[Dr._Albert_Robbins]] liver temp 's indicating time of death at 0600"", ' [[Dr._Albert_Robbins]] petichial hemorrhaging , cyanotic tongue', ' [[Dr._Albert_Robbins]] can i help you , catherine ?', ' ( CATHERINE walks into the room . )', ' [[Catherine]] i just want to see the body , david', "" [[Dr._Albert_Robbins]] unless i 'm mistaken , this is ecklie 's case"", ' [[Catherine]] eyes , no hands', "" ( DR. ROBBINS does n't say anything . )"", ' ( CATHERINE turns to look at the body . )', ' [[Catherine]] look at those ligature marks', ' [[Dr._Robbins]] petichials ... blue tongue , the works', ' [[Catherine]] raccoon eyes excoriation around the neck', "" [[Catherine]] she did n't give up easy"", ' [[Dr._Albert_Robbins]] struggled and strangled', ' [[Catherine]] ecklie find the murder weapon ?', ' [[Dr._Albert_Robbins]] i only deal with bodies', ' [[Catherine]] did you check for fingerprints on the body ?', ' [[Dr._Albert_Robbins]] not yet', "" [[Catherine]] half-life of fingerprints on flesh ... they 're disappearing as we speak"", ' [[Dr._Albert_Robbins]] catherine , i like nick , too', "" [[Dr._Albert_Robbins]] i know you 're here for him"", ' [[Dr._Albert_Robbins]] but what if i lift his prints from her ?', "" [[Catherine]] then that 's what you report"", ' [[Catherine]] evidence , doc', ' [[Catherine]] ... all we got']",1,Death cause,0,1,Crime,0.8055341243743896,1
8,8,8,"[' ( NICK is driving and talking on his cell phone . )', "" [[Nick]] hey , it 's me"", ' [[Nick]] you in the shower ?', ' [[Nick]] what are you doing ?', "" [[Nick]] anyway , if you check your messages i do n't have to work till later"", "" [[Nick]] so i thought , since you 're between careers you might want to grab a late"", "" ( NICK pulls up in front of KRISTY HOPKINS ' house and finds it surrounded by officer cars . )"", ' [[Nick]] ... breakfast', ' ( He pulls up . )', ' ( OFFICER ARVINGTON sees him . )', "" [[Officer_Arvington]] hey , nick , what 's up ?"", ' [[Nick]] not a lot', "" [[Nick]] what 's ... what 's going on ?"", "" [[Officer_Arvington]] it 's a 419"", ' [[Officer_Arvington]] dead prostitute', "" [[Nick]] who 's the decedent ?"", ' [[Officer_Arvington]] kristine marie hopkins', "" [[Officer_Arvington]] day shift 's got it covered"", ' [[Officer_Arvington]] you all right ?', "" ( NICK looks over and sees ECKLIE talking with the LEAD DETECTIVE and they 're both walking down the driveway . )"", "" [[Nick]] yeah , i must 've , uh"", "" [[Nick]] i must 've got my wires crossed"", "" [[Nick]] i 'll see you"", ' [[Officer_Arvington]] all right , man', ' ( NICK drives off . )']",1,Crime scene,0,1,Crime,0.7941885590553284,1
31,31,31,"[' ( The alarm rings and the voice over the PA instructs students where to go . )', ' [[Man_Over_P.A.]] all students and faculty and all school personnel please exit the building', ' [[Man_Over_P.A.]] security detail !', "" [[Man_Over_P.A.]] let 's go !"", ' ( Students calmly leave the school . )', ' ( DOMINIC rushes into the school passing by students . )', ' [[Dominic_Kretzker]] i need classroom 22b', ' [[Male_Voice]] second floor !', "" [[Dominic_Kretzker]] where 's 22b ?"", ' ( DOMINIC rushes up the stairs . )', ' ( He passes by students on their way out . )', ' [[Dominic]] come on , people !', "" [[Dominic]] do n't stop"", ' [[Male_Voice]] come on', ' [[Male_Voice]] male voice : outside', ' [[P.A.]] all students and all faculty', "" [[Dominic]] come on , people , do n't run"", ' [[P.A.]] all personnel are to exit the building immediately', "" [[Male_Voice]] let 's go"", ' [[Male_Voice]] everybody outside', ' [[P.A.]] all students and faculty please exit the facility immediately and regroup in your designated areas', ' ( DOMINIC reaches the red lockers and takes out a pocket knife that he uses to jimmy the locker open . )', ' ( He opens the locker and finds the bomb inside . )', ' ( He picks up the package . )', ' ( As soon as he moves it , the motion trigger sets off the clock timer . )', ' ( Quick CGI POV in through the box and to the alarm clock inside . )', ' ( The second hand starts moving . )', ' ( End of CGI POV . )', ' ( Resume to present . )', ' ( DOMINIC cautiously carries the package and heads back for the front door . )', ' [[Dominic_Kretzker]] get out of my way , people', ' [[Dominic_Kretzker]] come around me', ' ( Sirens wail outside . )', ' ( Cut to : Outside , GRISSOM pulls up . )', ' ( He stops the car and runs out with the other OFFICERS . )', ' ( The students continue to run out of the school . )', ' ( As the last of them leave , DOMINIC exits the building carrying the package . )', ' [[Grissom]] dominic , stop !', ' [[Grissom]] stop right there', ' [[Grissom]] put it down !', "" [[Dominic_Kretzker]] no , it 's all right"", "" [[Dominic_Kretzker]] everyone 's safe"", ' [[Grissom]] no , no , no', ' [[Grissom]] drop it', "" [[Grissom]] it 's active !"", ' ( Suddenly , DOMINIC stops smiling . )', ' ( He hears the clock timer ticking . )', ' ( Everything comes to a stop . )', ' ( Quick CGI POV to : Inside the package , the second hand hits 12 . )', ' ( The charge goes off . )', ' ( End of CGI POV . )', ' ( Resume to present . )', ' ( DOMINIC looks down at the package in his hands . )', ' ( OFF GRISSOM : As GRISSOM and the others watch , the bomb explodes . )', "" ( They 're thrown back by the impact of the explosion . )"", ' ( GRISSOM sits up and takes off his glasses . )']",0,None,1,0,Crime,0.7905202507972717,1
1,1,1,"[' ( GRISSOM and CATHERINE walk through the police vehicles and activity outside as they make their way to the crime scene . )', ' [[Catherine]] oh , these fire guys really know how to trash a crime scene', "" [[Grissom]] that 's what they do"", ' [[Grissom]] put wet stuff on the red stuff', ' ( GRISSOM and CATHERINE meet up with BRASS in the front of what used to be the doors to the building . )', ' ( BRASS fills them in )', "" [[Brass]] we 're all clear to go in , but here 's what we got"", ' [[Brass]] couple of head wounds', ' [[Brass]] elderly guy had his arm torn off', ' [[Brass]] the only fatality so far is jake richards , a security guard', "" [[Brass]] body 's still inside"", ' ( GRISSOM and CATHERINE turn their flashlights on as they walk through the lobby . )', ' ( BRASS stands aside and looks around . )', ' [[Brass]] how big you think this bomb was ?', "" [[Catherine]] it 's not the size of the bomb"", "" [[Catherine]] it 's the overpressure in the air around it"", ' ( They make their way toward the body . )', ' ( BRASS reaches it first and kneels down beside it . )', ' ( GRISSOM and CATHERINE both put their kits down as they look at the body . )', ' [[Grissom]] the van gogh effect', ' [[Grissom]] in stereo', ' [[Grissom]] both ears gone', ' [[Catherine]] a perfectly symmetrical amputation', ' [[Catherine]] means he was looking directly at the bomb when it went off', ' [[Grissom]] so either it drew his attention or it was contained in something that seemed benign', ' ( GRISSOM continues to look at the body . )', ' ( CATHERINE looks up and around . )', ' [[Grissom]] smell the sulfur ?', ' [[Catherine]] uh-huh', ' [[Catherine]] translation : yes', ' [[Grissom]] got your lighter , jim ?', ' [[Brass]] sure', ' ( GRISSOM takes a small sample scraping of the black stuff on the body . )', ' [[Grissom]] light this', ' ( The black powder on the knife explodes . )', ' [[Catherine]] gunpowder', ' [[Grissom]] well , we know the propellant', ' [[Grissom]] so would you care to make a preliminary call on this ?', "" [[Catherine]] i 'd love to"", ' ( CATHERINE stands up and moves to where the suitcase was on the floor indicated by the markings . )', ' [[Catherine]] seat of the bomb is here', ' [[Catherine]] victim was thrown ... three meters', ' [[Catherine]] his clothes are torn but not burnt , indicating a low-velocity propellant -- 6,000- 7,000 feet per second', ' [[Catherine]] who ?', ' [[Catherine]] why ?', ' [[Catherine]] will he do it again ?', ' ( She shrugs . )', ' [[Catherine]] time will tell']",1,Crime scene,1,1,Crime,0.7439699769020081,1
32,32,32,"["" ( O'RILEY escorts JACK WILLMAN down the hallway . )"", ' ( CATHERINE and NICK walk in )', ' [[Nick]] hi', ' [[Nick]] just the guy i wanted to see', "" ( O'RILEY puts a hand on NICK to stop him from getting any closer . )"", "" [[Catherine]] o'riley"", ' ( CATHERINE shakes her head and they both step aside . )', ' [[Nick]] tell me why you did it', ' [[Jack_Willman]] i got nothing to say to you , cowboy', ' ( NICK grabs JACK and pushes his back up against the wall . )', ' [[Nick]] she was going back to college , turning her life around getting out of the business , and you killed her for it !', ' [[Nick]] why ?', ' [[Jack_Willman]] is that what she told you ?', ' [[Jack_Willman]] she was getting out of the business ?', ' [[Jack_Willman]] she was going to college to recruit more girls', "" [[Nick]] do you think i 'm going to believe the john that killed her ?"", ' [[Jack_Willman]] oh , you think i was her client ?', ' [[Jack_Willman]] i was her pimp', ' [[Jack_Willman]] she was leaving me to start her own racket', ' [[Jack_Willman]] so wake up', "" [[Jack_Willman]] this is n't pretty woman"", "" [[Jack_Willman]] she 's not julia roberts"", "" [[Jack_Willman]] you 're not richard gere"", ' ( JACK takes a step aside , NICK grabs him and pushes him back up against the wall . )', ' [[Nick]] yeah , yeah , yeah', "" [[Nick]] i guess you 're right"", "" [[Nick]] because there 's no happy ending for you"", ' [[Nick]] twenty-five to life', ' [[Catherine]] get him out of here', "" ( O'RILEY steps forward . )""]",1,Motive,1,1,Crime,0.7268707752227783,1
