,Unnamed: 0,scene_id,scene_text,in_summary,aspects,prediction,aspect?,topic,score,prediction_class
14,14,14,"[' ( The victim is still on the ventilator . )', ' ( Dr Franks talks with Mr Mendez , the father of Samuel Mendez . )', ' ( Catherine walks up to the two men talking in the hallway . )', "" [[Mr._Mendez]] i 'm sorry , doctor"", "" [[Mr._Mendez]] i ca n't donate his organs"", ' [[Dr._Franks]] i assure you your son has no brain activity , mr mendez', "" [[Dr._Franks]] he 's gone"", "" [[Mr._Mendez]] no , no , you do n't understand"", "" [[Mr._Mendez]] i do n't know who that is in there , but it 's not my son"", ' [[Catherine]] mr mendez', "" [[Catherine]] i 'm catherine willows , with the las vegas crime lab"", ' [[Catherine]] are you sure ?', "" [[Mr._Mendez]] look , i 've been waiting for this phone call a long time"", "" [[Mr._Mendez]] my kid took a wrong turn somewhere -- maybe it 's my fault , i do n't know -- but somebody 's boy is in that bed and he 's not mine"", ' ( Mr Mendez leaves . )', ' ( Dr Franks turns and looks at Catherine . )', "" [[Dr._Franks]] either he ca n't accept reality or the county made a big mistake"", "" [[Catherine]] well , there 's only one way to find out"", "" [[Catherine]] i 'll have to take his prints""]",0,Evidence,0,1,Crime,0.9104045629501343,1
29,29,29,"[' ( Brass and Divine sit across the table from each other . )', ' [[Divine]] we been sitting here a long-ass time', ' [[Brass]] what can i say ?', ' [[Brass]] i like your company', "" [[Divine]] what 'd you bring me down here for ?"", ' [[Divine]] i was only trying to make a few bucks', ' [[Brass]] yeah', ' ( Sara knocks on the door and walks in carrying a file folder . )', ' ( She slides the folder across the table toward Divine . )', "" [[Sara]] dna 's a match"", ' [[Divine]] match to what ?', ' [[Sara]] to one of your hairs that you left on the body of a little boy', "" [[Divine]] i do n't know what you 're talking about"", ' [[Brass]] no ?', ' [[Brass]] i wonder why anyone would leave one kid with you much less three', ' [[Sara]] you have seven alleles in common with the dead boy', "" [[Sara]] although that 's not enough to say you 're related , it 's certainly enough to keep digging"", ' [[Brass]] you know , i ran your wants and warrants', ' [[Brass]] it kicked out some aliases', "" [[Brass]] i mean , devine 's a street name"", "" [[Brass]] but you 're also known as darlene lewis , married briefly to a grifter"", ' [[Brass]] and a.k.a', ' [[Brass]] darlene malton', "" [[Brass]] hey , that 's the same last name as the victim"", ' [[Sara]] to starve anyone is beyond me , but to do it to a child', ' [[Sara]] a relative , is unforgivable', ' ( Quick flash to : Divine empties out the rubber trash bin and puts Devon inside . )', ' ( She shoves the cover back on the bin )', ' ( End of flash . )', ' ( Resume to present . )', "" [[Divine]] was n't even like that"", ' [[Divine]] my cousin candy left me with them bad-ass kids and no money', ' [[Divine]] how am i supposed to feed them ?', "" [[Sara]] you do n't look like you 've missed any meals to me"", ' [[Divine]] know what , skinny bitch , go to hell', ' [[Divine]] i just scrape by', "" [[Brass]] if you could n't take care of them , why did n't you just turn them over to social services ?"", "" [[Divine]] i promised i would n't"", ' [[Divine]] little d got hurt last time', "" [[Divine]] she would 've killed me"", "" [[Sara]] what 's she going to do when she finds out her son is dead ?"", ' [[Divine]] i did the best i could', ' [[Brass]] okay , where are the boys now ?', ' ( Divine glances over at Sara . )', "" [[Divine]] uh-uh , you 're not gon na blame this on me"", ' [[Divine]] i want a lawyer', ' [[Brass]] you can have a lawyer after you give me the address', "" [[Brass]] but let me tell you something -- if those boys die , i 'm going to make it my business to see you get the death penalty""]",1,Motive,1,1,Crime,0.8673686385154724,1
4,4,4,"["" ( Catherine is standing next to the victim 's bed . )"", ' ( The victim is hooked up to a lot of machines - still alive , but barely . )', ' ( Next to the bed , she has a camera set up on a tripod . )', "" ( She holds the ruler against the injuries on the victim 's head and snaps a couple of photos of it . )"", "" [[Dr._Franks]] i 'm sorry , uh , who are you ?"", "" [[Catherine]] i 'm catherine willows"", "" [[Catherine]] i 'm with the crime lab"", ' [[Dr._Franks]] oh', "" [[Dr._Franks]] i 'm dr franks , attending"", ' [[Dr._Franks]] have you located his family yet ?', ' [[Catherine]] no', ' [[Dr._Franks]] i need to find someone to sign a release , take him off the ventilator', "" [[Catherine]] he 's brain dead ?"", ' [[Dr._Franks]] oh , yeah', "" [[Dr._Franks]] i 'm hoping the family will donate his organs"", ' [[Catherine]] tell me about his injuries', "" [[Dr._Franks]] he 's got blunt-force trauma to the frontal and sphenoid bones"", ' ( Quick flashback to : The victim is punched in the face . )', ' ( End of flashback . )', ' [[Dr._Franks]] it fragmented his skull , damaged his temporal arteries and imbedded in his brain', ' ( Quick CGI POV : The brain cuts and blood spills out . )', ' ( End of CGI POV . )', ' ( Quick flash to : The victim falls to the ground with blood running down his face . )', ' ( End of flash . )', ' [[Catherine]] well , those are shoe prints on his face , which suggests that he was attacked while he was down', ' ( Quick flash of : The victim is already down on the ground . )', ' ( Someone stomps on him with the heel of his boot . )', ' ( End of flash . )', ' [[Dr._Franks]] well , he came from county lock-up', ' [[Dr._Franks]] must have been a hell of a fight']",1,Death cause,0,1,Crime,0.8569034337997437,1
1,1,1,"[' ( Sara walks up to David Phillips and Greg around the body of the kid in the rubber trash bin Greg snaps photos as David checks the kid out . )', ' ( In the background , we hear the indistinct police radio transmissions . )', ' ( Sara slows down and puts her kit on the sidewalk as she kneels in front of the body . )', ' [[Greg]] somebody tried to just throw him out with the trash', "" [[Sara]] if the dumpster was n't full he would 've ended up at the landfill"", "" [[David_Phillips]] he has n't been dead long"", "" [[David_Phillips]] he 's just coming out of rigor , so i 'd say less than twenty-four hours"", "" [[Sara]] he was n't in the box long enough to mummify , but the kid looks like an ad for hunger relief"", "" [[Sara]] okay , let 's , um , transport him in situ"", ' ( Sara turns and looks at Greg . )', ' [[Sara]] be very careful moving the body', ' [[Sara]] you okay ?', ' [[Greg]] yeah', ' [[Greg]] fine', ' ( Off to the side , two officers struggle with a man in handcuffs . )', "" [[Officer]] come on , let 's go"", ' [[Man]] rodney king , yo !', ' [[Man]] rodney king', ' [[Man]] yo !', "" [[Man]] y'all see this ?"", "" [[Man]] that 's rodney king , dawg !"", ' [[Man]] let me go , dawg !', ' [[Man]] let me go , man !', ' ( The two officers lead the man in handcuffs to the car and put him in the backseat . )', ' ( Sofia walks back toward Grissom and Brass . )', ' [[Man]] get off me , man !', "" [[Man]] that 's rodney king , dawg !"", ' [[Man]] let me ... get off !', ' [[Man]] get off me !', ' [[Man]] get off !', ' [[Man]] get off me !', ' [[Man]] bitches !', ' [[Man]] we call it brutality !', ' ( The car door slams shut . )', ' [[Brass]] so , uh ... you think these concerned citizens are taping the capture of a vicious killer ?', ' ( Brass points back to the observers behind the crime scene tape with their camcorders out . )', ' ( The coroners lift up the gurney with the wrapped body on it . )', "" [[Grissom]] if they 're taping now , maybe they caught that second shooting on video"", ' [[Grissom]] maybe you could collect the cameras', ' ( Brass looks at Sofia and taps his own temple . )', ' ( He smiles and chuckles as he leaves . )', ' ( Grissom turns and looks at Sofia . )', ' [[Brass]] i love this guy', "" [[Grissom]] it says 'forensics ' on our jacket"", "" [[Sofia_Curtis]] i 'm aware of that"", ' [[Grissom]] we had plenty of cops chasing the suspect', "" [[Sofia_Curtis]] i was n't chasing the suspect"", ' [[Sofia_Curtis]] i was chasing the evidence', ' [[Sofia_Curtis]] i knew the idiot was likely to dump the gun', ' ( She takes out the bagged gun and hands it to Grissom . )', ' [[Sofia_Curtis]] all we have to do is ballistics-match the weapon to both victims case closed', ' ( Grissom takes the gun and looks at Sofia . )']",0,None,1,0,Crime,0.7982901334762573,1
22,22,22,"[' ( Mia takes out the gun from the evidence bag . )', ' ( She pulls the hammer back . )', ' ( The camera zooms in for a close-up of the skin and hair caught on the metal . )', ' ( Mia removes the strand of hair and takes a swab of the flesh . )']",1,Evidence,0,1,Crime,0.7689467668533325,1
18,18,18,"[' ( Catherine walks into the lab . )', ' [[Catherine]] hey , mia', ' [[Catherine]] did you finish processing the batons ?', ' [[Mia_Dickerson]] oh , yeah', ' [[Mia_Dickerson]] just now', ' [[Mia_Dickerson]] i found blood , epithelials and hair on all of them', ' [[Mia_Dickerson]] there are several dna sources from everyone but the victim', ' [[Catherine]] which means that a police baton never connected with sam mendez', ' [[Catherine]] he had to already be down when the cops entered the cell', ' [[Catherine]] thanks', ' ( Catherine turns and leaves the lab . )', ' ( Catherine walks through the hallway . )', ' ( Lt. Kim walks up to her . )', ' [[Lt._Arthur_Chen]] catherine willows ?', ' [[Catherine]] yeah ?', ' [[Lt._Arthur_Chen]] lieutenant arthur chen , watch commander for central holding', "" [[Catherine]] we are almost finished with our investigation , but i can tell you that the victim 's prints do n't match the sam mendez that 's wanted for murder"", ' [[Lt._Arthur_Chen]] are you telling me we arrested the wrong guy ?', ' [[Catherine]] it was a routine traffic stop', ' [[Catherine]] the arresting officer ran the name and got an immediate warrant hit', ' ( Quick flash to : A car is pulled over . )', ' ( The officer runs the name and gets a result on the computer . )', ' ( A second officer car pulls up . )', ' [[Catherine]] an arrest warrant for murder and two guys with the same name', ' ( Both officers hold their guns on Sam Mendez . )', ' [[Officer]] out of the car !', ' [[Officer]] out of the car !', "" [[Samuel_Mendez]] what 'd i do ?"", ' [[Officer]] hands up !', ' ( End of flashback . )', ' ( Resume to present . )', ' [[Lt._Arthur_Chen]] arresting officer did his job ; i did my job', "" [[Catherine]] no one 's saying that you did n't"", ' [[Lt._Arthur_Chen]] your subordinate warrick brown did', "" [[Catherine]] with all due respect , lieutenant , that really does n't sound like the warrick brown i know"", "" [[Lt._Arthur_Chen]] you 're a civilian , but even you understand 'chain of command '"", "" [[Lt._Arthur_Chen]] now , i 'm giving you an opportunity to adjust his attitude"", "" [[Lt._Arthur_Chen]] do n't make me"", ' ( He turns and leaves . )']",0,None,1,0,Crime,0.7479424476623535,1
23,23,23,"[' ( Camera pans down the table of shoes from the inmates . )', ' ( Warrick inks the roller and takes shoe prints . )']",0,None,0,0,Crime,0.7158660888671875,1
21,21,21,"[' ( Catherine is putting some books and photos on the shelf when Warrick walks into the office . )', ' [[Warrick]] aw , it looks good on you', ' [[Catherine]] thanks', ' ( She smiles and turns around , looking at the office behind her . )', ' [[Catherine]] have a seat', ' ( Warrick sits down . )', "" [[Warrick]] so what 's up ?"", ' [[Catherine]] lieutenant chen dropped by', ' ( She crosses her arms in front of her . )', ' [[Warrick]] really', ' [[Warrick]] i wonder what for', ' [[Catherine]] to complain about you', ' [[Catherine]] wish you told me you had a beef with him', ' [[Warrick]] there was nothing to say', ' [[Warrick]] we had words , it got heated , then it was over', ' [[Catherine]] well', "" [[Catherine]] i 'm the supervisor of the swing shift"", "" [[Catherine]] i 'm responsible for the whole team"", "" [[Catherine]] it 's my job to make sure that we remain objective and professional"", "" [[Warrick]] yeah , i really do n't see what the big deal is"", ' [[Warrick]] i mean , i remember talking to grissom', "" [[Catherine]] well , i 'm not grissom"", "" [[Catherine]] he let a lot of things slide that i wo n't"", ' [[Warrick]] okay', ' [[Warrick]] is there anything else ?', ' [[Catherine]] the evidence cleared the extraction team', ' [[Catherine]] you owe lieutenant chen an apology', ' [[Warrick]] written or verbal ?', "" [[Catherine]] from now on , anything that happens at a crime scene , i 'm your first phone call"", ' [[Warrick]] sure', ' ( Warrick stands up and leaves the office . )']",0,None,1,0,Crime,0.6929847002029419,1
20,20,20,"[' ( Brass interviews Phillip Riley while two MPs stand guard inside the room . )', ' [[Phillip_Riley]] i hope you can tell me what the hell is going on', "" [[Phillip_Riley]] mp 's just dragged me off a transport to tikrit"", ' [[Phillip_Riley]] that makes me look bad', ' [[Phillip_Riley]] not that i mind', ' [[Phillip_Riley]] better here than over there', "" [[Phillip_Riley]] you know what i 'm saying ?"", "" [[Brass]] oh , you 're an americanhero"", ' [[Brass]] and i mean that , you are', ' [[Brass]] what the hell were you doing on d street ?', ' [[Phillip_Riley]] d street ?', ' [[Brass]] explain to me why your fingerprints ended up on a plastic bin container in an alley off dstreet ?', ' [[Phillip_Riley]] oh , come on !', ' [[Brass]] oh , did i forget to mention there was a dead kid inside ?', ' [[Phillip_Riley]] well , well , i thought this was about paying for trimming inside county lines', ' [[Phillip_Riley]] all i did was take out the trash', "" [[Phillip_Riley]] that 's all i did"", ' [[Brass]] for who ?', ' [[Phillip_Riley]] some chicken head ghetto rat', ' [[Phillip_Riley]] i-i-i was shipping out and-and decided to party', ' [[Phillip_Riley]] you know , she was all i could afford', "" [[Brass]] where 'd you meet her ?"", ' [[Phillip_Riley]] some dive', ' [[Phillip_Riley]] seven sins', ' [[Brass]] what was her name ?', ' [[Phillip_Riley]] divine', ' [[Phillip_Riley]] i think', "" [[Phillip_Riley]] i-i do n't remember if she told me her last name"", ' [[Phillip_Riley]] anyway , we had some fun and when i was done , she told me to take out the trash', ' [[Phillip_Riley]] end of story', ' [[Brass]] not quite', ' [[Brass]] where does she live ?', ' [[Phillip_Riley]] north vegas somewhere', ' [[Phillip_Riley]] i was drunk as hell', ' [[Brass]] i want you to think real hard', ' [[Phillip_Riley]] i swear to god', "" [[Phillip_Riley]] i do n't know"", "" [[Phillip_Riley]] i really do n't"", "" [[Brass]] how 'd you get there ?"", ' [[Phillip_Riley]] in a taxi', ' [[Phillip_Riley]] and i left the same damn way']",0,None,1,0,Crime,0.6895791292190552,1
10,10,10,"[' ( Sara and Robbins are scanning x-rays into the computer . )', "" [[Sara]] i went through child abuse cases , looking for a match to the victim 's age and fracture"", ' [[Sara]] i pulled the x rays of our most likely candidates', ' [[Robbins]] sinus identification is as reliable as fingerprints', ' [[Robbins]] sinuses are unique ; they have distinct , scalloped edges', ' ( He pulls up the head x-ray of the victim and outlines the sinus cavity . )', ' ( He compares it to the other x-rays . )', ' ( The computer beeps : NO MATCH . )', ' [[Sara]] no match', "" [[Robbins]] it 's harder to identify children this way because they , uh , develop so quickly"", ' ( The computer beeps : NO MATCH . )', ' ( The computer beeps : POSITIVE MATCH . )', ' [[Sara]] this is it', ' [[Robbins]] bingo', ' [[Robbins]] yep', ' [[Robbins]] frontal and ethmoid sinuses line up perfectly', ' ( Sara gets the file folder to get the name of the victim . )', ' [[Sara]] devon malton , age five , last known residence was a foster home run by a lorna tenney']",1,Evidence,0,1,Crime,0.6624596118927002,1
