,Unnamed: 0,scene_id,scene_text,in_summary,aspects,prediction,aspect?,topic,score,prediction_class
30,30,30,"[' ( SARA exits the trailer just as NICK lifts out his find from the trash . )', ' [[Sara]] hey , nick', ' ( SARA approaches NICK and sees what he sees . )', "" ( It 's the missing murder weapon . )""]",0,None,0,0,Murder,0.9111654162406921,1
38,38,38,"[' [[Sara]] hey', ' [[Sara]] d.a', ' [[Sara]] s looking for you', ' [[Grissom]] about ?', ' ( SARA hands GRISSOM a note . )', ' [[Sara]] what , you think i read your messages ?', ' [[Paula_Francis]] wall street analysts , though , say stocks ... good investments for the long term', "" [[Sara]] 'top secret ' and 'urgent ' ?"", "" [[Sara]] it 's a gift , reading upside down"", ' ( Both are distracted by the television news . )', ' [[Paula_Francis_(TV_Anchorwoman)]] the las vegas district attorney is reportedly preparing to file homicide charges against benjamin corey jennings in the so-called burial murders case', ' [[Paula_Francis_(TV_Anchorwoman)]] jennings has been in police custody for the last', ' [[Sara]] guess we know what she was calling about', ' [[Paula_Francis]] ... since he was caught burying the first victim , oliver dunne in the national forest', ' ( GRISSOM puts down his food and leaves the room . )']",0,None,0,0,Murder,0.8341079950332642,1
36,36,36,"[' ( GRISSOM follows ROGER JENNINGS out the doorway and into the hallway . )', ' ( He leans against the doorway . )', "" [[Grissom]] the bullet jammed in the feed , did n't it ?"", ' ( Quick Flashback to ROGER JENNINGS pointing and firing the gun at the victim . )', ' ( Cut to a close up of the pistol jamming . )', ' ( Cut to ROGER JENNINGS using the tie to suffocate OLIVER DUNNE . )', ' ( Flash to white . )', ' ( Resume on GRISSOM . )', ' [[Grissom]] so , it was necessity', "" ( ROGER JENNINGS does n't say anything . )"", ' ( He smiles and then he walks away . )', "" ( Camera holds on GRISSOM 'S grim look . )""]",0,None,0,0,Murder,0.7956932783126831,1
8,8,8,"[' [[Robbins]] oliver dunne', ' [[Robbins]] corporate lawyer', ' [[Robbins]] father of two', ' [[Grissom]] you get all that from his ... uh ... dentals ?', ' [[Robbins]] his wife -- widow', ' [[Robbins]] she came down to i.d', ' [[Robbins]] his property', ' [[Grissom]] .380s ?', ' [[Robbins]] last one i recovered entered through his abdominals', ' ( CGI POV flash to white as the bullet penetrates an x-ray black and white replication of the body . )', ' ( Resume to present . )', ' ( Camera on GRISSOM . )', ' [[Robbins]] ... pierced the liver , lodged in the oblique', "" [[Grissom]] that 's not what killed him , is it ?"", ' [[Grissom]] we pulled a yellow fiber out of the neck wound', "" [[Grissom]] i think it 's from his tie"", ' [[Robbins]] you might be right', ' [[Robbins]] he died of asphyxiation', ' [[Robbins]] tie probably closed the windpipe', ' ( White flash to CGI POV as an x-ray bluish-white replication of a hand grasping a neck . )', ' ( Sounds of a person choking . )', ' ( Camera moves up the body through the mouth , down the throat , through the windpipe , into the lungs to a magnification of red and black colored air sacs . )', ' ( End of CGI POV . )', ' ( Resume on ROBBINS . )', ' [[Robbins]] without oxygen , the alveoli capillaries wither and dry up', ' [[Robbins]] whole pulmonary system shut down', ' [[Robbins]] what you may have here is the smallest sliver of the murder weapon', ' [[Grissom]] why would a guy shoot a man three times and then strangle him with his own tie ?', ' ( SARA enters holding the file folder with the results of the flour test . )', ' [[Sara]] i can not tell you why , but i might be able to tell you where', ' [[Sara]] a pizza shop', "" [[Sara]] the flour on oliver dunne has a low gluten content -- seven percent protein -- it 's typical of flour used to make cakes , pizzas , that kind of thing"", ' [[Grissom]] so , why did you rule out bakeries ?', ' [[Sara]] well , the subtype of flour is another subtype -- double zero', "" [[Sara]] it 's a very fine flour used only in pizza-baking ovens"", ' [[Sara]] oh , and trace picked up some oregano in the sample', ' [[Sara]] when are you set to interview ben ?', ' ( Camera holds on GRISSOM . )']",1,"Victim,Death cause,Evidence",1,1,Murder,0.7944055199623108,1
40,40,40,"["" ( A photograph of the injuries on OLIVER DUNNE 'S neck hits the table . )"", ' [[Grissom]] explain how bits of your skin got on the ligature used to strangle that victim', "" [[Benjamin_Jennings]] i do n't know"", ' ( A second photograph of the tie hits the table . )', ' ( BENJAMIN JENNINGS picks it up . )', ' [[Grissom]] your brother brought this in to the district attorney', ' [[Benjamin_Jennings]] what ?', "" [[Sgt._O'Riley]] he 's framing you"", ' [[Grissom]] unless you can tell us how your epithelials got on that tie', "" [[Benjamin_Jennings]] i do n't know"", "" [[Benjamin_Jennings]] i swear i do n't know"", ' [[Benjamin_Jennings]] i ... he', ' [[Benjamin_Jennings]] i just picked up the bodies at his place', ' ( Quick flashback to BENJAMIN and ROGER standing by the car . )', ' ( ROGER slams the back door closed after putting the bodies in )', "" [[Roger_Jennings]] grab that guy 's tie , little bro"", ' [[Roger_Jennings]] i like that thing', ' [[Roger_Jennings]] bury them deep , all right ?', "" [[Roger_Jennings]] you get into any trouble you do n't have to say anything , all right ?"", "" [[Roger_Jennings]] i 'm counting on you , man"", "" [[Benjamin_Jennings]] yeah , yeah , man , i 'm there all the way"", ' [[Roger_Jennings]] go , get out of here', ' [[Roger_Jennings]] go on', ' ( End of flashback . )', "" ( Resume on SGT O'RILEY . )"", "" [[Sgt._O'Riley]] i got to ask you ... how does somebody bury two bodies as a favor ?"", "" [[Benjamin_Jennings]] 'cause he 's my brother"", ' [[Benjamin_Jennings]] he told', "" [[Benjamin_Jennings]] he told me that if i did n't talk to you guys and if he did n't talk , then this would all just blow over ; it 'd all just go away"", "" [[Sgt._O'Riley]] you 're looking at two counts of murder , special circumstances"", "" [[Sgt._O'Riley]] the best you can hope for is life without parole"", ' ( BENJAMIN JENNINGS starts to cry . )', "" [[Benjamin_Jennings]] i do n't"", "" [[Benjamin_Jennings]] i do n't think i can do that kind of time"", ' [[Grissom]] do you have any physical evidence linking your brother to the murders ?', ' [[Grissom]] anything ?', ' ( BENJAMIN shakes his head ... no . )', ' ( Camera holds on GRISSOM . )']",1,None,1,0,Murder,0.7638878226280212,1
37,37,37,"["" [[Tina_Kolas]] wait , are you saying shelley did n't die in the sauna ?"", ' [[Warrick]] she died of heat stroke', ' [[Catherine]] but the stroke covered up an underlying medical catastrophe', ' [[Tina_Kolas]] like what ?', ' [[Tina_Kolas]] shell was always healthy', ' [[Catherine]] she went into anaphylactic shock', ' [[Catherine]] coroner says some of the indicators are the same as a stroke : renal failure , cerebral edema', ' [[Warrick]] we missed it until captain brass brought your room service records to our attention', "" [[Tina_Kolas]] i do n't understand"", ' [[Brass]] well , maybe this will help -', "" ( BRASS opens a file he 's holding . )"", ' ( The paper inside contains the following information: )', ' [[Brass]] the travel agency contract you and shelley signed', "" [[Brass]] under 'allergic reactions to foods ' for shelley danvers -- shellfish"", ' [[Warrick]] as her best friend , you would know that', "" [[Brass]] and then we have this from the hotel computer for your room 7:01 p.m. , on the day : 'a taste from the sea a lovely tureen of mild bisque with pureed bits of maine lobster"", ' [[Brass]] pureed , two bowls', "" [[Brass]] she did n't know what she was eating when it arrived , did she ?"", "" [[Catherine]] because she did n't order it ; you did"", "" [[Catherine]] we 've got a machine known as the esda machine which can read pen imprints"", ' ( CGI POV to the ESDA machine gliding over the paper . )', ' ( Flash to white . )', ' ( Brush dusting the paper . )', ' ( Close up of the paper reveals the following information: )', ' ( Resume to present . )', ' ( Catherine holds the notepad paper out and shows the following to TINA KOLAS . )', ' [[Catherine]] well , the machine isolated this', "" [[Catherine]] 'jeremy , drinks , 10:00 '"", ' [[Catherine]] shelley made that date', "" [[Catherine]] that 's her handwriting"", ' [[Catherine]] were you in the room when jeremy call ?', ' [[Tina_Kolas]] i answered the phone', ' [[Tina_Kolas]] he asked for her', ' [[Warrick]] you killed her over a guy you two met at a bar ?', "" [[Tina_Kolas]] i did n't mean to kill her"", "" [[Tina_Kolas]] i thought that she would just have an allergic reaction and she would n't be able to make her date that night , you know ... like , get hives or something"", ' [[Catherine]] well , her allergy kicked in in the sauna under the worst possible conditions --', ' ( White flashback to SHELLEY DANVERS in the sauna gasping for breath . )', ' ( End of flashback . )', ' ( Resume on WARRICK . )', ' [[Catherine]] ... trachea ... larynx ... tongue swelled', ' [[Warrick]] her pressure got so low her blood quit running through her organs', ' [[Warrick]] they shut down', ' ( TINA KOLAS slowly sits on the bed , overcome with grief at what she has done . )', "" [[Tina_Kolas]] i did n't even like the guy"", ' [[Tina_Kolas]] i just', "" [[Tina_Kolas]] i did n't want to be left out"", "" [[Brass]] miss kolas , you 're under arrest""]",1,Motive,1,1,Murder,0.7619948387145996,1
9,9,9,"["" [[Brass]] you 're the registered owner of a lorcin .380"", ' [[Brass]] takes the same caliber bullet as the slugs we took out of the victim', "" [[Brass]] so , i 'm going to ask you one more time"", "" [[Brass]] where 's your gun ?"", ' [[Benjamin_Jennings]] i lost it', ' [[Brass]] do you think we believe that ?', ' [[Brass]] do you think', ' [[Grissom]] are you employed , ben ?', "" [[Benjamin_Jennings]] yeah ... yeah , um ... it 's a place called dante 's pizzeria"", "" [[Benjamin_Jennings]] it 's behind the strato '"", ' [[Grissom]] you make pizzas ?', ' [[Benjamin_Jennings]] well , i deliver the pizzas', "" [[Benjamin_Jennings]] it 's too hot back there with all the ovens and stuff"", "" [[Grissom]] do you , uh ... ever come into contact with the baking flour at dante 's ?"", ' [[Benjamine_Jennings]] mostly pizza boxes', ' [[Benjamine_Jennings]] why ?', "" [[Grissom]] well , 'cause we found flour on the victim and it 's the kind that 's used to make pizza"", ' [[Grissom]] can you explain that ?', ' [[Benjamin_Jennings]] no', "" [[Grissom]] ben , why do n't you earn yourself some points by telling me what the science is going to tell me anyway ?"", "" [[Benjamin_Jennings]] well , i do n't have to talk"", "" [[Grissom]] no ... but we 're going to figure it out"", ' [[Benjamin_Jennings]] look , if you know so much about these murders what do you need me for ?', ' [[Grissom]] murders ?', ' [[Grissom]] there are more bodies ?', ' ( Camera holds on BENJAMIN JENNINGS . )']",0,None,1,0,Murder,0.748119592666626,1
15,15,15,"["" [[Sara]] two men were shot and killed and you did n't see anything ?"", ' [[Kirk_(Avcon_Attendant)]] sorry', "" [[Nick]] you do n't just miss something like that"", ' [[Nick]] what was going on ?', ' [[Kirk]] a friend of mine came with his new car', ' [[Kirk]] we took it for a drive', "" [[Kirk]] i 'm afraid my boss will find out"", ' [[Kirk]] i was only gone five minutes', ' [[Nick]] okay , all right', ' [[Nick]] just-just walk us through it', "" [[Nick]] when did you know there 'd been a crime committed ?"", ' [[Kirk]] well , my buddy dropped me back here and i noticed these two cars', ' [[Kirk]] i went to check them out', ' ( Quick flashback to KIRK walking toward the two cars near the gas pump island . )', ' ( Both driver side doors are open . )', "" ( He reaches the first car and shuts the driver 's door close . )"", "" ( He looks around and does n't see anyone . )"", ' ( He does , however , notice a puddle of blood on the ground . )', ' [[Kirk]] oh , my god', ' ( End of flashback . )', ' ( Resume present . )', "" [[Nick]] i do n't see any blood"", ' [[Kirk]] yeah , i hosed it down', ' [[Sara]] you what ?', "" [[Kirk]] it was freakin ' me out""]",0,None,0,0,Murder,0.7387714385986328,1
2,2,2,"[' ( Camera opens on the body . )', ' ( GRISSOM and NICK are crouched low examining the body . )', ' ( Garbled radio transmissions can be heard in the background . )', ' [[Nick]] see that lividity ?', ' [[Nick]] blood settled at the time of death', "" [[Grissom]] body 's been moved from the murder scene"", ' [[Grissom]] impound his car', ' ( SARA shows up . )', ' [[Sara]] sorry , guys', ' [[Sara]] i lost you at the fork', ' [[Nick]] my bad , sara', ' ( GRISSOM looks up at BENJAMIN JENNINGS . )', "" [[Grissom]] let 's process this guy shall we ?"", ' [[Grissom]] officer , would you uncuff him , please ?', ' ( The officer uncuffs BENJAMIN JENNINGS . )', ' ( GRISSOM takes out a black light and begins examining him from the back . )', ' ( NICK puts his CSI kit down . )', ' [[Nick]] okay , make like a scarecrow for me , partner', "" ( BENJAMIN JENNINGS does n't move . )"", ' ( NICK spreads his arms out to show him what he means . )', ' ( BENJAMIN JENNINGS copies him . )', ' [[Nick]] arms out , away from your body', "" [[Nick]] that 's it"", ' [[Nick]] stay just like that', ' ( SARA crouches low on the ground to collect his shoe prints . )', ' [[Sara]] give me your right foot', ' [[Sara]] other right', ' [[Sara]] put it down', ' [[Sara]] lift it up', ' ( NICK checks out the front and begins collecting . )', ' ( GRISSOM finds something on his back . )', ' [[Grissom]] hold still', ' ( He finds a single strand of hair and holds it up . )', ' [[Grissom]] possible secondary transfer', ' [[Nick]] got some red fibers', ' [[Sara]] other foot', ' [[Sara]] lift it up', ' [[Sara]] put it down', "" ( GRISSOM examines BENJAMIN JENNINGS ' arms )"", ' [[Grissom]] no defensive wounds', ' [[Grissom]] no hematomas', "" [[Nick]] victim did n't fight back"", "" [[Nick]] probably did n't see it coming"", ' [[Grissom]] matthew ... tag that body for special processing , vip room', "" [[Grissom]] do n't wash it till i get there , and do n't touch his fingernails""]",0,None,1,0,Murder,0.7023231387138367,1
17,17,17,"[' [[Kim_Marita]] i told you we have no record shelley danvers specifically used the dry sauna', ' ( CATHERINE opens a Las Vegas Metropolitan Police Department Evidence folder with the following information: )', ' ( Date ) 10-25-01 , ( Time ) 08:05 and ( Number ) 48913-5B . )', "" ( She pulls out the note pad taken from SHELLEY DANVERS ' room . )"", "" [[Catherine]] that 's okay , 'cause we do"", "" [[Catherine]] esda can read this blank paper ... see what 's written on it"", ' [[Catherine]] up to 14 layers', ' [[Warrick]] sometimes a simple flashlight will do the trick', ' ( WARRICK pulls out a flashlight and uses it on the pad . )', ' ( We see the following : SAUNA - 8:00 PM . )', "" [[Catherine]] that 's miss danvers ' handwriting"", ' [[Catherine]] we confirm that', ' [[Kim_Marita]] so she took a dry sauna', ' [[Kim_Marita]] what does that prove ?', ' [[Warrick]] she died of a heat stroke', ' [[Warrick]] the coroner just called in with the results of his final post', "" [[Warrick]] your sauna 's kept in the optimal condition for heat stroke -- 182 degrees"", ' ( Quick CGI POV flash to a hand on a thermostat temperature dial twisting it to the right . )', ' ( End of CGI POV . )', ' ( Resume on KIM MARITA . )', ' ( BRASS walks in )', ' [[Warrick]] that could kill a person if you left them longer than two straight hours', ' ( Brass walks in )', ' [[Brass]] especially if no one checks up on them', ' [[Brass]] a hotel employee is supposed to check on the various saunas every 15 minutes', ' [[Brass]] hotel regulations , right ?', ' [[Brass]] we , uh , we got a copy of the check-up sheet', "" ( Camera holds on KIM MARITA 'S look . )""]",0,None,0,0,Murder,0.6575906872749329,1
